Autor,CoAutores,Publicacion,Revista,Paginas,Anho
Javier Tejada Cárcamo,"Alexander F. Gelbukh, Hiram Calvo",An Innovative Two-Stage WSD Unsupervised Method,Procesamiento del Lenguaje Natural 40,,2008
Javier Tejada Cárcamo,"Hiram Calvo, Alexander F. Gelbukh",Improving Unsupervised WSD with a Dynamic Thesaurus,TSD,201-210,2008
César Castelo Fernández,,An efficient approach for Shot Detection in Video Sequences,"Proceedings of the II Peruvian Symposium on Image Processing and Computer Graphics, Arequipa, Perú",,2008
César Castelo Fernández,,Content-Based Video Retrieval through Wavelets and Clustering,"IV Workshop of Computer Vision, São Paulo State University, Baurú, SP, Brazil",,2008
César Castelo Fernández,,Image Searching in Videos using Gabor Filters,"Proceedings of the XII International South-American Conference on Systems Engineering, Computing and Informatics, Arequipa, Perú",,2008
Ernesto Cuadros Vargas,Alexander Ocsa,DBM*-Tree: an efficient metric access method,ACM Southeast Regional Conference,401-406,2007
Ernesto Cuadros Vargas,"Alexander Ocsa, Carlos Bedregal",DB-GNG: A constructive Self-Organizing Map based on densilty,IJCNN,1953-1958,2007
Ernesto Cuadros Vargas,Omar U. Flórez-Choque,"An Improve to Human Computer Interaction, Recovering Data from Databases Through Spoken Natural Language",ISNN,620-629,2007
Ernesto Cuadros Vargas,"Alexander Ocsa, Carlos Bedregal",A new approach for similarity queries using neighborhood graphs,SBBD,131-142,2007
Alex Jesus Cuadros Vargas,"Nonato, L. G.; Tejada, E.; Ertl, T",Generating segmented tetrahedral meshes from regular volume data for simulation and visualization applications,"Proceedings of the International Symposium on Computational Modelling of Objects Represented in Images - Fundamentals, Methods and Applications (CompIMAGE 2006)",141-146,2007
Yván Túpac Valdivia,"Almeida, L. F., Pacheco, M., Vellasco, M.",EXPLOT - Sistema de apoio à decisão para a otimização da explotação de petróleo,"Boletim técnico da Produção de Petróleo. , v.2",107 - 129,2007
Yván Túpac Valdivia,"Almeida, L. F., Vellasco, M. M. B. R., Pacheco, M. A. C.",Otimização de alternativas para o desenvolvimento de campos de petróleo,"Gestão e Produção (UFSCar). , v.14",489-503,2007
Yván Túpac Valdivia,"Luciana Faletti Almeida, Juan G. Lazo Lazo, Marco Aurélio Cavalcanti Pacheco, Marley Maria Bernardes Rebuzzi Vellasco",Evolutionary Computation for Valves Control Optimization in Intelligent Wells Under Uncertainties,IFSA (2),425-434,2007
